epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.359,1.19949,3.80712,0.0134,0,0,0,0,1.36364,5.21253,0.02012,0.0028,0.0028,0.0748
2,519.233,1.34949,2.1873,0.01656,0,0,0,0,3.09941,5.49118,0.05176,0.00556191,0.00556191,0.0485619
3,783.254,1.38597,2.19337,0.01729,0.00725,0.00806,0.00397,0.00159,3.09122,6.60938,0.05235,0.00778699,0.00778699,0.021787
4,1035.31,1.28833,2.04681,0.01546,0.44646,0.16985,0.1792,0.08207,2.19562,7.42999,0.03568,0.00795954,0.00795954,0.00795954
5,1282.72,1.31969,1.70506,0.01646,0.56986,0.17254,0.22241,0.11023,1.7911,5.98822,0.02704,0.00657963,0.00657963,0.00657963
6,1540.26,1.33925,1.58847,0.01639,0.4285,0.53285,0.49726,0.27587,1.52672,2.23774,0.02325,0.00505,0.00505,0.00505
7,1802.83,1.19997,1.46272,0.01478,0.5543,0.63528,0.62737,0.43091,1.14952,2.09014,0.01595,0.00352037,0.00352037,0.00352037
8,2067.13,1.11944,1.34781,0.01283,0.60148,0.605,0.68459,0.48367,1.14552,1.39095,0.01575,0.00214046,0.00214046,0.00214046
9,2323.47,1.01111,1.22766,0.01295,0.59451,0.72475,0.70245,0.52585,0.99005,1.31483,0.01389,0.00104537,0.00104537,0.00104537
10,2563.77,0.99123,1.14761,0.0121,0.62001,0.69719,0.73271,0.5528,0.98153,1.15866,0.01411,0.00034227,0.00034227,0.00034227
